section_name,section_code,app_name_full,app_name_abbrev,app_status,decommission_date,pkg_ns,patch_ver,patch_ver_major,patch_ver_minor,patch_num,patch_id,patch_id_full,multi_ns,group_key,doc_code,doc_label,doc_layer,doc_labelling,doc_title,doc_filename,doc_slug,doc_format,doc_subject,noise_type,app_url,doc_url,companion_url
Clinical,CLI,Admission Discharge Transfer,ADT,active,,DG,5.3,5,3,1081,DG*5.3*1081,,0,ADT:DG:5.3,RN,Release Notes,patch,code,DG*5.3*1081 Release Notes,dg_5_3_1081_rn.docx,dg_5_3_1081_rn,docx,,,https://www.va.gov/vdl/application.asp?appid=55,https://www.va.gov/vdl/documents/Clinical/Admis_Disch_Transfer_(ADT)/dg_5_3_1081_rn.docx,https://www.va.gov/vdl/documents/Clinical/Admis_Disch_Transfer_(ADT)/dg_5_3_1081_rn.pdf
Clinical,CLI,Admission Discharge Transfer,ADT,active,,DG,5.3,5,3,1081,DG*5.3*1081,,0,ADT:DG:5.3,RN,Release Notes,patch,code,DG*5.3*1081 Release Notes,dg_5_3_1081_rn.pdf,dg_5_3_1081_rn,pdf,,,https://www.va.gov/vdl/application.asp?appid=55,https://www.va.gov/vdl/documents/Clinical/Admis_Disch_Transfer_(ADT)/dg_5_3_1081_rn.pdf,https://www.va.gov/vdl/documents/Clinical/Admis_Disch_Transfer_(ADT)/dg_5_3_1081_rn.docx
Clinical,CLI,Admission Discharge Transfer,ADT,active,,DG,5.3,5,3,1082,DG*5.3*1082,,0,ADT:DG:5.3,RN,Release Notes,patch,code,DG*5.3*1082 Release Notes,dg_5_3_p1082_rn.docx,dg_5_3_p1082_rn,docx,,,https://www.va.gov/vdl/application.asp?appid=55,https://www.va.gov/vdl/documents/Clinical/Admis_Disch_Transfer_(ADT)/dg_5_3_p1082_rn.docx,https://www.va.gov/vdl/documents/Clinical/Admis_Disch_Transfer_(ADT)/dg_5_3_p1082_rn.pdf
Clinical,CLI,Admission Discharge Transfer,ADT,active,,DG,5.3,5,3,1082,DG*5.3*1082,,0,ADT:DG:5.3,RN,Release Notes,patch,code,DG*5.3*1082 Release Notes,dg_5_3_p1082_rn.pdf,dg_5_3_p1082_rn,pdf,,,https://www.va.gov/vdl/application.asp?appid=55,https://www.va.gov/vdl/documents/Clinical/Admis_Disch_Transfer_(ADT)/dg_5_3_p1082_rn.pdf,https://www.va.gov/vdl/documents/Clinical/Admis_Disch_Transfer_(ADT)/dg_5_3_p1082_rn.docx
Clinical,CLI,Admission Discharge Transfer,ADT,active,,DG,5.3,5,3,1085,DG*5.3*1085,,0,ADT:DG:5.3,RN,Release Notes,patch,code,DG*5.3*1085 Release Notes,dg_5_3_p1085_rn.docx,dg_5_3_p1085_rn,docx,,,https://www.va.gov/vdl/application.asp?appid=55,https://www.va.gov/vdl/documents/Clinical/Admis_Disch_Transfer_(ADT)/dg_5_3_p1085_rn.docx,https://www.va.gov/vdl/documents/Clinical/Admis_Disch_Transfer_(ADT)/dg_5_3_p1085_rn.pdf
Clinical,CLI,Admission Discharge Transfer,ADT,active,,DG,5.3,5,3,1085,DG*5.3*1085,,0,ADT:DG:5.3,RN,Release Notes,patch,code,DG*5.3*1085 Release Notes,dg_5_3_p1085_rn.pdf,dg_5_3_p1085_rn,pdf,,,https://www.va.gov/vdl/application.asp?appid=55,https://www.va.gov/vdl/documents/Clinical/Admis_Disch_Transfer_(ADT)/dg_5_3_p1085_rn.pdf,https://www.va.gov/vdl/documents/Clinical/Admis_Disch_Transfer_(ADT)/dg_5_3_p1085_rn.docx
Clinical,CLI,Admission Discharge Transfer,ADT,active,,DG,5.3,5,3,1090,DG*5.3*1090,,0,ADT:DG:5.3,RN,Release Notes,patch,code,DG*5.3*1090 Release Notes,dg_5_3_p1090_rn.docx,dg_5_3_p1090_rn,docx,,,https://www.va.gov/vdl/application.asp?appid=55,https://www.va.gov/vdl/documents/Clinical/Admis_Disch_Transfer_(ADT)/dg_5_3_p1090_rn.docx,https://www.va.gov/vdl/documents/Clinical/Admis_Disch_Transfer_(ADT)/dg_5_3_p1090_rn.pdf
Clinical,CLI,Admission Discharge Transfer,ADT,active,,DG,5.3,5,3,1090,DG*5.3*1090,,0,ADT:DG:5.3,RN,Release Notes,patch,code,DG*5.3*1090 Release Notes,dg_5_3_p1090_rn.pdf,dg_5_3_p1090_rn,pdf,,,https://www.va.gov/vdl/application.asp?appid=55,https://www.va.gov/vdl/documents/Clinical/Admis_Disch_Transfer_(ADT)/dg_5_3_p1090_rn.pdf,https://www.va.gov/vdl/documents/Clinical/Admis_Disch_Transfer_(ADT)/dg_5_3_p1090_rn.docx
Clinical,CLI,Admission Discharge Transfer,ADT,active,,DG,5.3,5,3,1093,DG*5.3*1093,,0,ADT:DG:5.3,RN,Release Notes,patch,code,DG*5.3*1093 Release Notes,dg_5_3_1093_rn.docx,dg_5_3_1093_rn,docx,,,https://www.va.gov/vdl/application.asp?appid=55,https://www.va.gov/vdl/documents/Clinical/Admis_Disch_Transfer_(ADT)/dg_5_3_1093_rn.docx,https://www.va.gov/vdl/documents/Clinical/Admis_Disch_Transfer_(ADT)/dg_5_3_1093_rn.pdf
Clinical,CLI,Admission Discharge Transfer,ADT,active,,DG,5.3,5,3,1093,DG*5.3*1093,,0,ADT:DG:5.3,RN,Release Notes,patch,code,DG*5.3*1093 Release Notes,dg_5_3_1093_rn.pdf,dg_5_3_1093_rn,pdf,,,https://www.va.gov/vdl/application.asp?appid=55,https://www.va.gov/vdl/documents/Clinical/Admis_Disch_Transfer_(ADT)/dg_5_3_1093_rn.pdf,https://www.va.gov/vdl/documents/Clinical/Admis_Disch_Transfer_(ADT)/dg_5_3_1093_rn.docx
